county,countyfips,year,age,population,migrationrate,netmigration
Alamosa,3,1980,70_74,319,-4.4,-14
Alamosa,3,1990,00_04,1108,-2.5,-28
Alamosa,3,1990,05_09,1222,-4.2,-51
Alamosa,3,1990,10_14,1234,-4.3,-53
Alamosa,3,1990,15_19,1186,28.5,339
Alamosa,3,1990,20_24,1063,40.9,435
Alamosa,3,1990,25_29,1311,-27.8,-365
Alamosa,3,1990,30_34,1441,-38.4,-554
Alamosa,3,1990,35_39,1087,-4.7,-51
Alamosa,3,1990,40_44,1080,6.1,66
Alamosa,3,1990,45_49,1072,-0.2,-3
Alamosa,3,1990,50_54,880,2.8,25
Alamosa,3,1990,55_59,652,-4.4,-29
Alamosa,3,1990,60_64,533,-3.4,-18
Alamosa,3,1990,65_69,423,1,4
Alamosa,3,1990,70_74,366,-7.6,-28
Alamosa,3,2000,00_04,1318,-3.7,-49
Alamosa,3,2000,05_09,1202,-10.7,-129
Alamosa,3,2000,10_14,1079,-12.6,-136
Alamosa,3,2000,15_19,1158,16.3,189
Alamosa,3,2000,20_24,1166,34,396
Alamosa,3,2000,25_29,1525,-28.1,-430
Alamosa,3,2000,30_34,1508,-40.8,-615
Alamosa,3,2000,35_39,943,-10.9,-103
Alamosa,3,2000,40_44,879,-8.9,-78
Alamosa,3,2000,45_49,1007,2.4,24
Alamosa,3,2000,50_54,1107,1.3,14
Alamosa,3,2000,55_59,1021,-0.6,-6
Alamosa,3,2000,60_64,842,0.4,3
Alamosa,3,2000,65_69,548,2.7,14
Alamosa,3,2000,70_74,416,4,16
Alamosa,3,2010,00_04,980.41,3.12,31
Alamosa,3,2010,05_09,1143.98,1.92,22
Alamosa,3,2010,10_14,1266.22,-5.78,-73
Alamosa,3,2010,15_19,1072.57,37.05,397
Alamosa,3,2010,20_24,928.34,84.31,783
Alamosa,3,2010,25_29,1309.56,-12.64,-166
Alamosa,3,2010,30_34,1529.49,-27.03,-413
Alamosa,3,2010,35_39,1063.36,-4.92,-52
Alamosa,3,2010,40_44,863.79,3.73,32
Alamosa,3,2010,45_49,808.96,-7.04,-57
Alamosa,3,2010,50_54,758.9,3.04,23
Alamosa,3,2010,55_59,965.67,-5.35,-52
Alamosa,3,2010,60_64,1019.53,-15.75,-161
Alamosa,3,2010,65_69,900.99,-9.65,-87
Alamosa,3,2010,70_74,712.45,-11.01,-78
Arapahoe,5,1980,00_04,31202,3.2,1025
Arapahoe,5,1980,05_09,28045,14.7,4143
Arapahoe,5,1980,10_14,22296,26.6,5938
Arapahoe,5,1980,15_19,23978,6.3,1532
Arapahoe,5,1980,20_24,25570,-2.1,-541
Arapahoe,5,1980,25_29,26483,41.2,10931
Arapahoe,5,1980,30_34,25277,62.3,15758
Arapahoe,5,1980,35_39,29912,31.4,9395
Arapahoe,5,1980,40_44,31785,13.4,4269
Arapahoe,5,1980,45_49,24109,6.7,1633
Arapahoe,5,1980,50_54,17940,2.7,485
Arapahoe,5,1980,55_59,15248,-2.2,-342
Arapahoe,5,1980,60_64,12938,-1.9,-256
Arapahoe,5,1980,65_69,10869,2.4,266
Arapahoe,5,1980,70_74,7169,9.4,678
Arapahoe,5,1990,00_04,31791,9.8,3118
Arapahoe,5,1990,05_09,31154,17.9,5581
Arapahoe,5,1990,10_14,32130,16.2,5213
Arapahoe,5,1990,15_19,31818,4,1300
Arapahoe,5,1990,20_24,27626,7.9,2187
Arapahoe,5,1990,25_29,25283,48.8,12344
Arapahoe,5,1990,30_34,24922,51.4,12815
Arapahoe,5,1990,35_39,36771,14.6,5395
Arapahoe,5,1990,40_44,40011,9.8,3943
Arapahoe,5,1990,45_49,38542,4.8,1853
Arapahoe,5,1990,50_54,35501,-4.9,-1750
Arapahoe,5,1990,55_59,25112,-10.9,-2740
Arapahoe,5,1990,60_64,17608,-11.1,-1961
Arapahoe,5,1990,65_69,13537,-11,-1500
Arapahoe,5,1990,70_74,10785,-3.9,-427
Arapahoe,5,2000,00_04,38858,9.1,3541
