countyfips,year,estimate
39,2036,42819
119,2036,29421
89,2036,17161
123,2036,529276
14,2036,95698
61,2036,1224
67,2036,76323
1,2036,710219
69,2036,459706
13,2036,390904
91,2036,5330
19,2036,11144
23,2036,3668
47,2036,6167
109,2036,6482
57,2036,1260
59,2036,643127
103,2036,6822
83,2036,35377
117,2036,38694
75,2036,26161
55,2036,6254
7,2036,18879
81,2036,13414
53,2036,1031
115,2036,2257
11,2036,5737
77,2036,198112
95,2036,4244
15,2036,23526
97,2036,19696
25,2036,6228
0,2036,7226939
73,2036,6956
101,2036,201395
125,2036,10735
41,2036,926010
63,2036,7970
105,2036,11225
27,2036,5116
35,2036,431809
51,2036,19828
121,2036,5061
85,2036,57439
43,2036,50364
93,2036,22416
37,2036,73486
29,2036,35766
21,2036,8379
17,2036,1768
3,2036,19757
113,2036,12118
79,2036,864
65,2036,8798
87,2036,34846
31,2036,870580
99,2036,11761
45,2036,83386
107,2036,35397
71,2036,13462
5,2036,797643
49,2036,20497
111,2036,717
9,2036,3078
33,2036,1951
107,2035,34854
79,2035,862
67,2035,75433
21,2035,8360
89,2035,17265
111,2035,718
73,2035,6883
97,2035,19621
14,2035,95571
25,2035,6204
105,2035,11239
13,2035,387675
45,2035,82014
5,2035,790824
69,2035,453939
119,2035,29287
27,2035,5094
41,2035,914438
91,2035,5308
33,2035,1951
0,2035,7149172
23,2035,3675
19,2035,11041
1,2035,699150
63,2035,7907
125,2035,10714
113,2035,11892
109,2035,6496
47,2035,6160
123,2035,516508
57,2035,1265
101,2035,199533
49,2035,20183
59,2035,640801
65,2035,8732
103,2035,6800
43,2035,50113
39,2035,42161
83,2035,34929
35,2035,427980
9,2035,3101
117,2035,38256
31,2035,864611
75,2035,25991
85,2035,56561
99,2035,11787
7,2035,18490
77,2035,194972
55,2035,6299
87,2035,34410
51,2035,19688
53,2035,1017
81,2035,13400
71,2035,13517
115,2035,2269
121,2035,5090
11,2035,5749
29,2035,35412
3,2035,19575
17,2035,1779
93,2035,22272
15,2035,23388
61,2035,1234
95,2035,4256
37,2035,72469
121,2034,5117
101,2034,197641
27,2034,5071
99,2034,11812
9,2034,3126
57,2034,1271
0,2034,7069569
77,2034,191816
83,2034,34480
75,2034,25820
117,2034,37810
115,2034,2277
15,2034,23234
73,2034,6803
17,2034,1790
41,2034,902813
43,2034,49859
85,2034,55675
3,2034,19395
21,2034,8340
113,2034,11665
87,2034,33977
45,2034,80629
71,2034,13571
111,2034,719
33,2034,1951
89,2034,17372
14,2034,95404
69,2034,448098
19,2034,10938
47,2034,6137
109,2034,6510
1,2034,688004
5,2034,783569
23,2034,3682
91,2034,5286
123,2034,503782
13,2034,384374
49,2034,19867
67,2034,74531
35,2034,423933
107,2034,34298
31,2034,858175
65,2034,8665
51,2034,19547
79,2034,859
93,2034,22106
63,2034,7845
105,2034,11254
25,2034,6177
95,2034,4263
81,2034,13384
11,2034,5761
53,2034,1003
119,2034,29149
37,2034,71432
7,2034,18093
103,2034,6778
61,2034,1243
29,2034,35051
125,2034,10688
97,2034,19526
39,2034,41482
55,2034,6339
59,2034,638303
89,2033,17480
67,2033,73619
71,2033,13625
45,2033,79232
99,2033,11837
123,2033,491102
87,2033,33569
31,2033,851265
125,2033,10664
113,2033,11441
65,2033,8598
79,2033,858
107,2033,33730
21,2033,8321
51,2033,19404
29,2033,34683
93,2033,21917
3,2033,19216
85,2033,54779
119,2033,29005
43,2033,49605
77,2033,188649
121,2033,5145
63,2033,7784
41,2033,891134
105,2033,11269
25,2033,6147
97,2033,19428
73,2033,6740
17,2033,1801
81,2033,13368
95,2033,4271
101,2033,195726
15,2033,23079
27,2033,5046
115,2033,2289
11,2033,5774
0,2033,6988385
53,2033,990
37,2033,70376
117,2033,37357
39,2033,40783
7,2033,17693
55,2033,6375
75,2033,25647
